"Entity","workplace_closures","lasted","lon","lat"
"Suriname","Requerido-algunos",2021-05-03,-56.027783,3.919305
"Sweden","Requerido-algunos",2021-05-07,18.643501,60.128161
"Switzerland","Requerido-algunos",2021-05-06,8.227512,46.818188
"Syria","Requerido-para todos menos trabajos claves",2021-05-03,38.996815,34.802075
"Taiwan","Sin medidas",2021-05-03,120.960515,23.69781
"Tajikistan","Recomendado",2021-04-26,71.276093,38.861034
"Tanzania","Sin medidas",2021-05-03,34.888822,-6.369028
"Thailand","Recomendado",2021-04-26,100.992541,15.870032
"Timor","Requerido-para todos menos trabajos claves",2021-04-26,125.727539,-8.874217
"Togo","Requerido-algunos",2021-05-09,0.824782,8.619543
"Tonga","Sin medidas",2021-05-02,-175.198242,-21.178986
"Trinidad and Tobago","Requerido-algunos",2021-04-18,-61.222503,10.691803
"Tunisia","Recomendado",2021-04-30,9.560764,33.881967
"Turkey","Requerido-algunos",2021-04-25,35.243322,38.963745
"Uganda","Requerido-algunos",2021-04-23,32.290275,1.373333
"Ukraine","Requerido-para todos menos trabajos claves",2021-05-03,31.1655799,48.379433
"United Arab Emirates","Requerido-algunos",2021-05-09,53.847818,23.424076
"United Kingdom","Requerido-algunos",2021-05-07,-3.435973,55.378051
"United States","Recomendado",2021-05-08,-95.712891,37.09024
"Uruguay","Requerido-algunos",2021-04-30,-55.765835,-32.522779
"Uzbekistan","Sin medidas",2021-05-09,64.585262,41.377491
"Vanuatu","Sin medidas",2021-05-03,166.959158,-15.376706
"Venezuela","Requerido-para todos menos trabajos claves",2021-05-10,-66.58973,6.42375
"Vietnam","Recomendado",2021-04-26,108.277199,14.058324
"Yemen","Recomendado",2021-05-03,48.516388,15.552727
"Zambia","Sin medidas",2021-05-08,27.849332,-13.133897
"Zimbabwe","Requerido-algunos",2021-05-09,29.154857,-19.015438
